0.7 -0.484125 -0.490802
0.71 -0.496249 -0.501393
0.72 -0.506751 -0.510254
0.73 -0.51563 -0.517401
0.74 -0.522891 -0.522858
0.75 -0.528541 -0.526652
0.76 -0.532591 -0.528816
0.77 -0.535057 -0.52939
0.78 -0.535954 -0.528416
0.79 -0.535304 -0.52594
0.8 -0.533129 -0.522016
0.81 -0.529455 -0.516696
0.82 -0.524309 -0.51004
0.83 -0.517723 -0.50211
0.84 -0.509728 -0.49297
0.85 -0.500358 -0.482687
0.86 -0.48965 -0.471329
0.87 -0.477642 -0.458968
0.88 -0.464371 -0.445675
0.89 -0.449879 -0.431524
0.9 -0.434208 -0.41659
0.91 -0.417399 -0.400947
0.92 -0.399497 -0.38467
0.93 -0.380546 -0.367834
0.94 -0.360592 -0.350513
0.95 -0.339679 -0.332782
0.96 -0.317854 -0.314712
0.97 -0.295165 -0.296376
0.98 -0.271656 -0.277843
0.99 -0.247377 -0.259183
